year_interval,book,image_weight
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/2253e3b7-423b-45d2-916a-e2fdd674ff31,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/237ea022-fb94-43f8-a96d-e904b2c7693e,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/24d7c23f-1a4d-45df-b1fe-e810a45501bc,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/3e02c3b8-e0e6-43a3-a4b3-5d62e312ab86,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/645b3b24-f9c3-456e-8bbd-ee29590d9b61,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/7276cc19-5b92-4739-afbf-c0c99cb9bff3,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/81be1fcd-f929-4b5f-ab19-9fa75ef00aef,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/915c0040-e374-46d0-b3a7-91e4024100e0,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/9a9296d8-73f9-4959-b01a-ce257c90209a,6
1570-1589,http://sphaera.mpiwg-berlin.mpg.de/id/item/ed36a81b-f8a3-4bb9-b2b0-3c4ae973e01e,6
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/1a63bd13-b902-4874-8564-46a0e3b9f169,10
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/4a74bfb7-a68f-4901-ba08-f251592707cb,10
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/f38c54c9-6a37-480b-ab54-581aecae3816,10
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/b09d9eb3-c89b-49b9-be00-5fd450b362a4,9
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/c125b0ab-37ad-4e9c-8be0-176c3d4c0efc,9
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/6d6f5b0b-95f9-46af-9175-d578b181959b,8
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/73828a90-70e2-4efa-8663-afa02f3c1fc7,8
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/fe8f2ddb-1158-4e1c-a147-788edb3fa691,8
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/224827b8-fa6a-461f-bbea-a7146ee65a5c,7
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/cc55ac61-4e43-4871-b4f1-ce1539d6a334,7
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/d520a0bb-df57-404f-a686-d3b5fd4f7c21,7
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/e8f89b1c-5f59-4d02-a37e-1669b7587baa,7
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/00294e5b-c9ed-44f7-af31-550da6b948e0,6
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/28e51631-562e-42aa-9589-f50a963c3233,6
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/40b1d419-81e1-465f-bdec-5aa95a283198,6
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/7df9daf9-23c1-4534-a872-612ca3c07713,6
1590-1609,http://sphaera.mpiwg-berlin.mpg.de/id/item/c5a9a4d5-26d0-4773-912c-d6a3692d6eb4,6
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/20bb95c2-b6b5-427a-9234-ac7e0ebd0bfc,11
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/afc7f3d4-4c03-4e06-afdc-4538a60315a0,11
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/ce19d0cc-c1f8-4c65-9e0b-e327419f6cf7,11
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/cb80930d-46b3-4983-8e55-7a89eb2ace17,10
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/cc61e6f3-ca2a-4821-9f9b-fe0a38c6a92e,10
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/2af726a4-5ecb-448f-8d8f-8365e51ff3e7,7
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/95c8ac0f-9488-429a-bb5e-8c9f0d91de6a,7
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/a8e80c9a-dbe2-4177-8c6a-a372adb2aa87,7
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/0691437b-f2cc-463e-a967-6f01bf2b9343,6
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/3320cd53-7a45-4ebc-a4f1-a13b4e908fd1,6
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/c5540c64-55a8-4c0e-b195-475c9e5ec767,6
1610-1629,http://sphaera.mpiwg-berlin.mpg.de/id/item/97c67646-42b8-407a-90a4-6cc11b055ab9,1
1630-1650,http://sphaera.mpiwg-berlin.mpg.de/id/item/2ed541b1-163e-4d38-85ac-ec144d428dc1,11
1630-1650,http://sphaera.mpiwg-berlin.mpg.de/id/item/9b20f27f-23ed-4377-bafc-d6c30a50e1ec,11
